ids,ISCO_version,major,major_label,sub_major,sub_major_label,minor,minor_label,unit,description_isco,documents,label
1,ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1111,Legislators,"Managers | Chief Executives, Senior Officials and Legislators | Legislators and Senior Officials | Legislators",1111
254,ISCO-08,5,Services And Sales Workers,52,Sales Workers,521,Street and Market Salespersons,5211,Stall and Market Salespersons,Services And Sales Workers | Sales Workers | Street and Market Salespersons | Stall and Market Salespersons,5211
255,ISCO-08,5,Services And Sales Workers,52,Sales Workers,521,Street and Market Salespersons,5212,Street Food Salespersons,Services And Sales Workers | Sales Workers | Street and Market Salespersons | Street Food Salespersons,5212
256,ISCO-08,5,Services And Sales Workers,52,Sales Workers,522,Shop Salespersons ,5221,Shopkeepers,Services And Sales Workers | Sales Workers | Shop Salespersons  | Shopkeepers,5221
257,ISCO-08,5,Services And Sales Workers,52,Sales Workers,522,Shop Salespersons ,5222,Shop Supervisors,Services And Sales Workers | Sales Workers | Shop Salespersons  | Shop Supervisors,5222
258,ISCO-08,5,Services And Sales Workers,52,Sales Workers,522,Shop Salespersons ,5223,Shop Sales Assistants,Services And Sales Workers | Sales Workers | Shop Salespersons  | Shop Sales Assistants,5223
259,ISCO-08,5,Services And Sales Workers,52,Sales Workers,523,Cashiers and Ticket Clerks,5230,Cashiers and Ticket Clerks,Services And Sales Workers | Sales Workers | Cashiers and Ticket Clerks | Cashiers and Ticket Clerks,5230
260,ISCO-08,5,Services And Sales Workers,52,Sales Workers,524,Other Sales Workers,5241,Fashion and Other Models,Services And Sales Workers | Sales Workers | Other Sales Workers | Fashion and Other Models,5241
261,ISCO-08,5,Services And Sales Workers,52,Sales Workers,524,Other Sales Workers,5242,Sales Demonstrators,Services And Sales Workers | Sales Workers | Other Sales Workers | Sales Demonstrators,5242
262,ISCO-08,5,Services And Sales Workers,52,Sales Workers,524,Other Sales Workers,5243,Door-to-door Salespersons,Services And Sales Workers | Sales Workers | Other Sales Workers | Door-to-door Salespersons,5243
263,ISCO-08,5,Services And Sales Workers,52,Sales Workers,524,Other Sales Workers,5244,Contact Centre Salespersons,Services And Sales Workers | Sales Workers | Other Sales Workers | Contact Centre Salespersons,5244
264,ISCO-08,5,Services And Sales Workers,52,Sales Workers,524,Other Sales Workers,5245,Service Station Attendants,Services And Sales Workers | Sales Workers | Other Sales Workers | Service Station Attendants,5245
265,ISCO-08,5,Services And Sales Workers,52,Sales Workers,524,Other Sales Workers,5246,Food Service Counter Attendants,Services And Sales Workers | Sales Workers | Other Sales Workers | Food Service Counter Attendants,5246
266,ISCO-08,5,Services And Sales Workers,52,Sales Workers,524,Other Sales Workers,5249,Sales Workers Not Elsewhere Classified,Services And Sales Workers | Sales Workers | Other Sales Workers | Sales Workers Not Elsewhere Classified,5249
267,ISCO-08,5,Services And Sales Workers,53,Personal Care Workers,531,Child Care Workers and Teachers� Aides,5311,Child Care Workers,Services And Sales Workers | Personal Care Workers | Child Care Workers and Teachers� Aides | Child Care Workers,5311
268,ISCO-08,5,Services And Sales Workers,53,Personal Care Workers,531,Child Care Workers and Teachers� Aides,5312,Teachers� Aides,Services And Sales Workers | Personal Care Workers | Child Care Workers and Teachers� Aides | Teachers� Aides,5312
269,ISCO-08,5,Services And Sales Workers,53,Personal Care Workers,532,Personal Care Workers in Health Services,5321,Health Care Assistants,Services And Sales Workers | Personal Care Workers | Personal Care Workers in Health Services | Health Care Assistants,5321
270,ISCO-08,5,Services And Sales Workers,53,Personal Care Workers,532,Personal Care Workers in Health Services,5322,Home-based Personal Care Workers,Services And Sales Workers | Personal Care Workers | Personal Care Workers in Health Services | Home-based Personal Care Workers,5322
271,ISCO-08,5,Services And Sales Workers,53,Personal Care Workers,532,Personal Care Workers in Health Services,5329,Personal Care Workers in Health Services Not Elsewhere Classified,Services And Sales Workers | Personal Care Workers | Personal Care Workers in Health Services | Personal Care Workers in Health Services Not Elsewhere Classified,5329
272,ISCO-08,5,Services And Sales Workers,54,Protective Services Workers,541,Protective Services Workers,5411,Firefighters,Services And Sales Workers | Protective Services Workers | Protective Services Workers | Firefighters,5411
273,ISCO-08,5,Services And Sales Workers,54,Protective Services Workers,541,Protective Services Workers,5412,Police Officers,Services And Sales Workers | Protective Services Workers | Protective Services Workers | Police Officers,5412
274,ISCO-08,5,Services And Sales Workers,54,Protective Services Workers,541,Protective Services Workers,5413,Prison Guards,Services And Sales Workers | Protective Services Workers | Protective Services Workers | Prison Guards,5413
275,ISCO-08,5,Services And Sales Workers,54,Protective Services Workers,541,Protective Services Workers,5414,Security Guards,Services And Sales Workers | Protective Services Workers | Protective Services Workers | Security Guards,5414
276,ISCO-08,5,Services And Sales Workers,54,Protective Services Workers,541,Protective Services Workers,5419,Protective Services Workers Not Elsewhere Classified,Services And Sales Workers | Protective Services Workers | Protective Services Workers | Protective Services Workers Not Elsewhere Classified,5419
277,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,611,Market Gardeners and Crop Growers,6111,Field Crop and Vegetable Growers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Market Gardeners and Crop Growers | Field Crop and Vegetable Growers",6111
278,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,611,Market Gardeners and Crop Growers,6112,Tree and Shrub Crop Growers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Market Gardeners and Crop Growers | Tree and Shrub Crop Growers",6112
279,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,611,Market Gardeners and Crop Growers,6113,Gardeners; Horticultural and Nursery Growers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Market Gardeners and Crop Growers | Gardeners; Horticultural and Nursery Growers",6113
280,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,611,Market Gardeners and Crop Growers,6114,Mixed Crop Growers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Market Gardeners and Crop Growers | Mixed Crop Growers",6114
281,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,612,Animal Producers,6121,Livestock and Dairy Producers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Animal Producers | Livestock and Dairy Producers",6121
282,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,612,Animal Producers,6122,Poultry Producers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Animal Producers | Poultry Producers",6122
283,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,612,Animal Producers,6123,Apiarists and Sericulturists,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Animal Producers | Apiarists and Sericulturists",6123
284,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,612,Animal Producers,6129,Animal Producers Not Elsewhere Classified,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Animal Producers | Animal Producers Not Elsewhere Classified",6129
285,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",61,Market-oriented Skilled Agricultural Workers,613,Mixed Crop and Animal Producers,6130,Mixed Crop and Animal Producers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Agricultural Workers | Mixed Crop and Animal Producers | Mixed Crop and Animal Producers",6130
286,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",62,"Market-oriented Skilled Forestry, Fishery and Hunting Workers",621,Forestry and Related Workers,6210,Forestry and Related Workers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Forestry, Fishery and Hunting Workers | Forestry and Related Workers | Forestry and Related Workers",6210
287,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",62,"Market-oriented Skilled Forestry, Fishery and Hunting Workers",622,"Fishery Workers, Hunters and Trappers",6221,Aquaculture Workers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Forestry, Fishery and Hunting Workers | Fishery Workers, Hunters and Trappers | Aquaculture Workers",6221
288,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",62,"Market-oriented Skilled Forestry, Fishery and Hunting Workers",622,"Fishery Workers, Hunters and Trappers",6222,Inland and Coastal Waters Fishery Workers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Forestry, Fishery and Hunting Workers | Fishery Workers, Hunters and Trappers | Inland and Coastal Waters Fishery Workers",6222
289,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",62,"Market-oriented Skilled Forestry, Fishery and Hunting Workers",622,"Fishery Workers, Hunters and Trappers",6223,Deep-sea Fishery Workers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Forestry, Fishery and Hunting Workers | Fishery Workers, Hunters and Trappers | Deep-sea Fishery Workers",6223
290,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",62,"Market-oriented Skilled Forestry, Fishery and Hunting Workers",622,"Fishery Workers, Hunters and Trappers",6224,Hunters and Trappers,"Skilled Agricultural, Forestry and Fishery Workers | Market-oriented Skilled Forestry, Fishery and Hunting Workers | Fishery Workers, Hunters and Trappers | Hunters and Trappers",6224
291,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",63,"Subsistence Farmers, Fishers, Hunters and Gatherers",631,Subsistence Crop Farmers,6310,Subsistence Crop Farmers,"Skilled Agricultural, Forestry and Fishery Workers | Subsistence Farmers, Fishers, Hunters and Gatherers | Subsistence Crop Farmers | Subsistence Crop Farmers",6310
292,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",63,"Subsistence Farmers, Fishers, Hunters and Gatherers",632,Subsistence Livestock Farmers,6320,Subsistence Livestock Farmers,"Skilled Agricultural, Forestry and Fishery Workers | Subsistence Farmers, Fishers, Hunters and Gatherers | Subsistence Livestock Farmers | Subsistence Livestock Farmers",6320
293,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",63,"Subsistence Farmers, Fishers, Hunters and Gatherers",633,Subsistence Mixed Crop and Livestock Farmers,6330,Subsistence Mixed Crop and Livestock Farmers,"Skilled Agricultural, Forestry and Fishery Workers | Subsistence Farmers, Fishers, Hunters and Gatherers | Subsistence Mixed Crop and Livestock Farmers | Subsistence Mixed Crop and Livestock Farmers",6330
294,ISCO-08,6,"Skilled Agricultural, Forestry and Fishery Workers",63,"Subsistence Farmers, Fishers, Hunters and Gatherers",634,"Subsistence Fishers, Hunters, Trappers and Gatherers",6340,"Subsistence Fishers, Hunters, Trappers and Gatherers","Skilled Agricultural, Forestry and Fishery Workers | Subsistence Farmers, Fishers, Hunters and Gatherers | Subsistence Fishers, Hunters, Trappers and Gatherers | Subsistence Fishers, Hunters, Trappers and Gatherers",6340
295,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),711,Building Frame and Related Trades Workers,7111,House Builders,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Frame and Related Trades Workers | House Builders,7111
296,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),711,Building Frame and Related Trades Workers,7112,Bricklayers and Related Workers,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Frame and Related Trades Workers | Bricklayers and Related Workers,7112
297,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),711,Building Frame and Related Trades Workers,7113,"Stonemasons, Stone Cutters, Splitters and Carvers","Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Frame and Related Trades Workers | Stonemasons, Stone Cutters, Splitters and Carvers",7113
298,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),711,Building Frame and Related Trades Workers,7114,"Concrete Placers, Concrete Finishers and Related Workers","Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Frame and Related Trades Workers | Concrete Placers, Concrete Finishers and Related Workers",7114
299,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),711,Building Frame and Related Trades Workers,7115,Carpenters and Joiners,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Frame and Related Trades Workers | Carpenters and Joiners,7115
300,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),711,Building Frame and Related Trades Workers,7119,Building Frame and Related Trades Workers Not Elsewhere Classified,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Frame and Related Trades Workers | Building Frame and Related Trades Workers Not Elsewhere Classified,7119
301,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),712,Building Finishers and Related Trades Workers,7121,Roofers,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Finishers and Related Trades Workers | Roofers,7121
302,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),712,Building Finishers and Related Trades Workers,7122,Floor Layers and Tile Setters,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Finishers and Related Trades Workers | Floor Layers and Tile Setters,7122
303,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),712,Building Finishers and Related Trades Workers,7123,Plasterers,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Finishers and Related Trades Workers | Plasterers,7123
304,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),712,Building Finishers and Related Trades Workers,7124,Insulation Workers,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Finishers and Related Trades Workers | Insulation Workers,7124
305,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),712,Building Finishers and Related Trades Workers,7125,Glaziers,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Finishers and Related Trades Workers | Glaziers,7125
306,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),712,Building Finishers and Related Trades Workers,7126,Plumbers and Pipe Fitters,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Finishers and Related Trades Workers | Plumbers and Pipe Fitters,7126
307,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),712,Building Finishers and Related Trades Workers,7127,Air Conditioning and Refrigeration Mechanics,Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Building Finishers and Related Trades Workers | Air Conditioning and Refrigeration Mechanics,7127
308,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),713,"Painters, Building Structure Cleaners and Related Trades Workers",7131,Painters and Related Workers,"Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Painters, Building Structure Cleaners and Related Trades Workers | Painters and Related Workers",7131
309,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),713,"Painters, Building Structure Cleaners and Related Trades Workers",7132,Spray Painters and Varnishers,"Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Painters, Building Structure Cleaners and Related Trades Workers | Spray Painters and Varnishers",7132
310,ISCO-08,7,Craft and Related Trades Workers,71,Building and Related Trades Workers (excluding Electricians),713,"Painters, Building Structure Cleaners and Related Trades Workers",7133,Building Structure Cleaners,"Craft and Related Trades Workers | Building and Related Trades Workers (excluding Electricians) | Painters, Building Structure Cleaners and Related Trades Workers | Building Structure Cleaners",7133
311,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",7211,Metal Moulders and Coremakers,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers | Metal Moulders and Coremakers",7211
312,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",7212,Welders and Flame Cutters,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers | Welders and Flame Cutters",7212
313,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",7213,Sheet Metal Workers,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers | Sheet Metal Workers",7213
314,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",7214,Structural Metal Preparers and Erectors,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers | Structural Metal Preparers and Erectors",7214
315,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",7215,Riggers and Cable Splicers,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers | Riggers and Cable Splicers",7215
316,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",722,"Blacksmiths, Toolmakers and Related Trades Workers",7221,"Blacksmiths, Hammersmiths and Forging Press Workers","Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Blacksmiths, Toolmakers and Related Trades Workers | Blacksmiths, Hammersmiths and Forging Press Workers",7221
317,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",722,"Blacksmiths, Toolmakers and Related Trades Workers",7222,Toolmakers and Related Workers,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Blacksmiths, Toolmakers and Related Trades Workers | Toolmakers and Related Workers",7222
318,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",722,"Blacksmiths, Toolmakers and Related Trades Workers",7223,Metal Working Machine Tool Setters and Operators,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Blacksmiths, Toolmakers and Related Trades Workers | Metal Working Machine Tool Setters and Operators",7223
319,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",722,"Blacksmiths, Toolmakers and Related Trades Workers",7224,"Metal Polishers, Wheel Grinders and Tool Sharpeners","Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Blacksmiths, Toolmakers and Related Trades Workers | Metal Polishers, Wheel Grinders and Tool Sharpeners",7224
320,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",723,Machinery Mechanics and Repairers,7231,Motor Vehicle Mechanics and Repairers,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Machinery Mechanics and Repairers | Motor Vehicle Mechanics and Repairers",7231
321,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",723,Machinery Mechanics and Repairers,7232,Aircraft Engine Mechanics and Repairers,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Machinery Mechanics and Repairers | Aircraft Engine Mechanics and Repairers",7232
322,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",723,Machinery Mechanics and Repairers,7233,Agricultural and Industrial Machinery Mechanics and Repairers,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Machinery Mechanics and Repairers | Agricultural and Industrial Machinery Mechanics and Repairers",7233
323,ISCO-08,7,Craft and Related Trades Workers,72,"Metal, Machinery and Related Trades Workers",723,Machinery Mechanics and Repairers,7234,Bicycle and Related Repairers,"Craft and Related Trades Workers | Metal, Machinery and Related Trades Workers | Machinery Mechanics and Repairers | Bicycle and Related Repairers",7234
324,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7311,Precision-instrument Makers and Repairers,Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Precision-instrument Makers and Repairers,7311
325,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7312,Musical Instrument Makers and Tuners,Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Musical Instrument Makers and Tuners,7312
326,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7313,Jewellery and Precious Metal Workers,Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Jewellery and Precious Metal Workers,7313
327,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7314,Potters and Related Workers,Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Potters and Related Workers,7314
328,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7315,"Glass Makers, Cutters, Grinders and Finishers","Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Glass Makers, Cutters, Grinders and Finishers",7315
329,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7316,"Signwriters, Decorative Painters, Engravers and Etchers","Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Signwriters, Decorative Painters, Engravers and Etchers",7316
330,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7317,"Handicraft Workers in Wood, Basketry and Related Materials","Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Handicraft Workers in Wood, Basketry and Related Materials",7317
331,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7318,"Handicraft Workers in Textile, Leather and Related Materials","Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Handicraft Workers in Textile, Leather and Related Materials",7318
332,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,731,Handicraft Workers,7319,Handicraft Workers Not Elsewhere Classified,Craft and Related Trades Workers | Handicraft and Printing Workers | Handicraft Workers | Handicraft Workers Not Elsewhere Classified,7319
333,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,732,Printing Trades Workers,7321,Pre-press Technicians,Craft and Related Trades Workers | Handicraft and Printing Workers | Printing Trades Workers | Pre-press Technicians,7321
334,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,732,Printing Trades Workers,7322,Printers ,Craft and Related Trades Workers | Handicraft and Printing Workers | Printing Trades Workers | Printers ,7322
335,ISCO-08,7,Craft and Related Trades Workers,73,Handicraft and Printing Workers,732,Printing Trades Workers,7323,Print Finishing and Binding Workers,Craft and Related Trades Workers | Handicraft and Printing Workers | Printing Trades Workers | Print Finishing and Binding Workers,7323
336,ISCO-08,7,Craft and Related Trades Workers,74,Electrical and Electronics Trades Workers,741,Electrical Equipment Installers and Repairers,7411,Building and Related Electricians,Craft and Related Trades Workers | Electrical and Electronics Trades Workers | Electrical Equipment Installers and Repairers | Building and Related Electricians,7411
337,ISCO-08,7,Craft and Related Trades Workers,74,Electrical and Electronics Trades Workers,741,Electrical Equipment Installers and Repairers,7412,Electrical Mechanics and Fitters,Craft and Related Trades Workers | Electrical and Electronics Trades Workers | Electrical Equipment Installers and Repairers | Electrical Mechanics and Fitters,7412
338,ISCO-08,7,Craft and Related Trades Workers,74,Electrical and Electronics Trades Workers,741,Electrical Equipment Installers and Repairers,7413,Electrical Line Installers and Repairers ,Craft and Related Trades Workers | Electrical and Electronics Trades Workers | Electrical Equipment Installers and Repairers | Electrical Line Installers and Repairers ,7413
339,ISCO-08,7,Craft and Related Trades Workers,74,Electrical and Electronics Trades Workers,742,Electronics and Telecommunications Installers and Repairers,7421,Electronics Mechanics and Servicers,Craft and Related Trades Workers | Electrical and Electronics Trades Workers | Electronics and Telecommunications Installers and Repairers | Electronics Mechanics and Servicers,7421
340,ISCO-08,7,Craft and Related Trades Workers,74,Electrical and Electronics Trades Workers,742,Electronics and Telecommunications Installers and Repairers,7422,Information and Communications Technology Installers and Servicers,Craft and Related Trades Workers | Electrical and Electronics Trades Workers | Electronics and Telecommunications Installers and Repairers | Information and Communications Technology Installers and Servicers,7422
341,ISCO-08,7,Craft and Related Trades Workers,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",751,Food Processing and Related Trades Workers,7511,"Butchers, Fishmongers and Related Food Preparers","Craft and Related Trades Workers | Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers | Food Processing and Related Trades Workers | Butchers, Fishmongers and Related Food Preparers",7511
342,ISCO-08,7,Craft and Related Trades Workers,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",751,Food Processing and Related Trades Workers,7512,"Bakers, Pastry-cooks and Confectionery Makers","Craft and Related Trades Workers | Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers | Food Processing and Related Trades Workers | Bakers, Pastry-cooks and Confectionery Makers",7512
343,ISCO-08,7,Craft and Related Trades Workers,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",751,Food Processing and Related Trades Workers,7513,Dairy Products Makers,"Craft and Related Trades Workers | Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers | Food Processing and Related Trades Workers | Dairy Products Makers",7513
344,ISCO-08,7,Craft and Related Trades Workers,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",751,Food Processing and Related Trades Workers,7514,"Fruit, Vegetable and Related Preservers","Craft and Related Trades Workers | Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers | Food Processing and Related Trades Workers | Fruit, Vegetable and Related Preservers",7514
345,ISCO-08,7,Craft and Related Trades Workers,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",751,Food Processing and Related Trades Workers,7515,Food and Beverage Tasters and Graders,"Craft and Related Trades Workers | Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers | Food Processing and Related Trades Workers | Food and Beverage Tasters and Graders",7515
346,ISCO-08,7,Craft and Related Trades Workers,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",751,Food Processing and Related Trades Workers,7516,Tobacco Preparers and Tobacco Products Makers,"Craft and Related Trades Workers | Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers | Food Processing and Related Trades Workers | Tobacco Preparers and Tobacco Products Makers",7516
347,ISCO-08,7,Craft and Related Trades Workers,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",752,"Wood Treaters, Cabinet-makers and Related Trades Workers",7521,Wood Treaters,"Craft and Related Trades Workers | Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers | Wood Treaters, Cabinet-makers and Related Trades Workers | Wood Treaters",7521
348,ISCO-08,7,Craft and Related Trades Workers,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",752,"Wood Treaters, Cabinet-makers and Related Trades Workers",7522,Cabinet-makers and Related Workers,"Craft and Related Trades Workers | Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers | Wood Treaters, Cabinet-makers and Related Trades Workers | Cabinet-makers and Related Workers",7522
